,a12,a21,a22,b11,b21
0,-0.8749713360393615,2.0802166867240164,2.607254022878201,-0.2074631372745738,3.5999636102993393
1,0.24987018089116284,-0.49923859672216153,-0.9348680244465757,1.7930359793657118,0.2974802092936336
2,0.3732566290819723,0.36486297406160945,6.692274696893236,-65.05285573541214,412.13184526371856
3,0.5591645694609234,1.2900457391281202,-26.96192189207416,1811.6493474235592,-11373.645563884209
4,-0.11433737050885288,-20.56320133988541,137.51429161313686,-27463.854038153735,168274.19938676697
5,5.814898337798109,136.7318396892336,-552.7700205296618,243211.85559708957,-1431887.9377582646
6,-16.206981281009433,-470.91897111517676,2339.1654282654335,-1321088.9509299842,7450445.075098921
7,17.279459853221468,1017.2655102092284,-7753.720430659409,4458870.409898331,-24012308.16008231
8,53.77716500246622,-1753.2467105879239,16644.165761480133,-9117099.191047035,46808093.13128964
9,-144.15020706138816,2168.2273359055953,-20383.622022062573,10340718.123570368,-50608284.92458723
10,104.98057924219246,-1245.0434296722333,11179.299449489548,-4994268.938835142,23350374.835647557
